alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
49.553	8.760E-02	7.091E-02	1.146E-01
49.366	8.980E-02	7.270E-02	1.174E-01
49.179	9.150E-02	7.407E-02	1.197E-01
48.991	9.000E-02	7.286E-02	1.177E-01
48.804	8.890E-02	7.197E-02	1.163E-01
48.617	9.110E-02	7.375E-02	1.191E-01
48.430	9.060E-02	7.334E-02	1.185E-01
48.243	9.060E-02	7.334E-02	1.185E-01
48.057	9.460E-02	7.658E-02	1.237E-01
47.870	9.960E-02	8.063E-02	1.302E-01
47.683	1.011E-01	8.184E-02	1.322E-01
47.497	1.057E-01	8.557E-02	1.382E-01
47.310	1.109E-01	8.978E-02	1.450E-01
47.124	1.101E-01	8.913E-02	1.440E-01
46.937	1.116E-01	9.034E-02	1.459E-01
46.751	1.176E-01	9.520E-02	1.538E-01
46.564	1.198E-01	9.698E-02	1.567E-01
46.378	1.181E-01	9.560E-02	1.544E-01
46.191	1.248E-01	1.010E-01	1.632E-01
46.005	1.331E-01	1.077E-01	1.741E-01
45.818	1.342E-01	1.086E-01	1.755E-01
45.632	1.406E-01	1.138E-01	1.839E-01
45.445	1.499E-01	1.213E-01	1.960E-01
45.258	1.525E-01	1.235E-01	1.994E-01
45.072	1.597E-01	1.293E-01	2.088E-01
44.885	1.771E-01	1.434E-01	2.316E-01
44.698	1.932E-01	1.564E-01	2.526E-01
44.511	2.030E-01	1.643E-01	2.655E-01
44.325	2.104E-01	1.703E-01	2.751E-01
44.138	2.260E-01	1.830E-01	2.955E-01
43.951	2.709E-01	2.193E-01	3.543E-01
43.763	3.245E-01	2.627E-01	4.243E-01
43.576	3.441E-01	2.786E-01	4.500E-01
43.389	3.461E-01	2.802E-01	4.526E-01
43.202	3.665E-01	2.967E-01	4.793E-01
43.014	3.903E-01	3.160E-01	5.104E-01
42.827	4.463E-01	3.613E-01	5.836E-01
42.639	5.055E-01	4.092E-01	6.610E-01
42.451	5.552E-01	4.494E-01	7.260E-01
42.263	6.218E-01	5.034E-01	8.131E-01
42.075	6.731E-01	5.449E-01	8.802E-01
41.887	6.989E-01	5.658E-01	9.139E-01
41.699	7.131E-01	5.773E-01	9.325E-01
41.511	7.307E-01	5.915E-01	9.555E-01
41.323	7.352E-01	5.952E-01	9.614E-01
41.134	7.574E-01	6.131E-01	9.904E-01
40.945	7.760E-01	6.282E-01	1.015E+00
40.757	7.774E-01	6.293E-01	1.017E+00
40.568	7.480E-01	6.055E-01	9.782E-01
40.379	7.183E-01	5.815E-01	9.393E-01
40.190	6.853E-01	5.548E-01	8.962E-01
40.001	6.370E-01	5.157E-01	8.330E-01
39.811	6.238E-01	5.050E-01	8.157E-01
39.622	6.224E-01	5.038E-01	8.139E-01
39.432	6.326E-01	5.121E-01	8.272E-01
39.243	6.807E-01	5.510E-01	8.901E-01
39.053	7.370E-01	5.966E-01	9.638E-01
38.863	7.703E-01	6.236E-01	1.007E+00
38.673	8.449E-01	6.840E-01	1.105E+00
38.483	1.003E+00	8.120E-01	1.312E+00
38.293	1.252E+00	1.013E+00	1.637E+00
38.102	1.720E+00	1.392E+00	2.249E+00
37.912	2.427E+00	1.964E+00	3.173E+00
37.722	2.919E+00	2.363E+00	3.817E+00
37.531	3.170E+00	2.566E+00	4.145E+00
37.340	4.096E+00	3.315E+00	5.356E+00
37.149	4.944E+00	4.002E+00	6.465E+00
36.959	4.987E+00	4.037E+00	6.522E+00
36.768	4.964E+00	4.018E+00	6.491E+00
36.577	5.082E+00	4.114E+00	6.645E+00
36.385	5.203E+00	4.212E+00	6.804E+00
36.194	5.540E+00	4.484E+00	7.244E+00
36.003	6.220E+00	5.035E+00	8.134E+00
35.812	7.740E+00	6.265E+00	1.012E+01
35.620	9.822E+00	7.951E+00	1.284E+01
35.429	1.079E+01	8.736E+00	1.411E+01
35.237	1.266E+01	1.025E+01	1.655E+01
35.046	1.497E+01	1.211E+01	1.957E+01
34.854	1.655E+01	1.340E+01	2.164E+01
34.663	1.888E+01	1.528E+01	2.469E+01
34.471	2.103E+01	1.702E+01	2.750E+01
34.279	2.197E+01	1.778E+01	2.873E+01
34.088	2.256E+01	1.827E+01	2.951E+01
33.896	2.552E+01	2.066E+01	3.337E+01
33.704	2.823E+01	2.285E+01	3.692E+01
33.513	2.848E+01	2.306E+01	3.725E+01
33.321	2.944E+01	2.383E+01	3.849E+01
33.129	3.248E+01	2.629E+01	4.248E+01
32.938	3.663E+01	2.965E+01	4.790E+01
32.746	4.114E+01	3.330E+01	5.379E+01
32.555	4.448E+01	3.601E+01	5.816E+01
