alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
32.363	4.666E+01	3.777E+01	6.101E+01
32.172	4.894E+01	3.962E+01	6.400E+01
31.981	5.186E+01	4.198E+01	6.782E+01
31.789	5.572E+01	4.510E+01	7.286E+01
31.598	5.931E+01	4.801E+01	7.756E+01
31.407	6.381E+01	5.165E+01	8.344E+01
31.216	6.730E+01	5.448E+01	8.801E+01
31.025	6.882E+01	5.571E+01	9.000E+01
30.835	7.008E+01	5.673E+01	9.165E+01
30.644	7.210E+01	5.836E+01	9.428E+01
30.454	7.450E+01	6.031E+01	9.742E+01
30.264	7.632E+01	6.179E+01	9.981E+01
30.074	7.821E+01	6.332E+01	1.023E+02
29.884	7.982E+01	6.461E+01	1.044E+02
29.694	8.110E+01	6.566E+01	1.061E+02
29.505	8.169E+01	6.613E+01	1.068E+02
29.315	8.008E+01	6.483E+01	1.047E+02
29.126	7.708E+01	6.240E+01	1.008E+02
28.937	7.227E+01	5.851E+01	9.451E+01
28.749	6.674E+01	5.403E+01	8.728E+01
28.561	6.458E+01	5.228E+01	8.446E+01
28.373	6.285E+01	5.088E+01	8.219E+01
28.185	5.873E+01	4.754E+01	7.679E+01
27.998	5.532E+01	4.478E+01	7.234E+01
27.811	5.153E+01	4.171E+01	6.738E+01
27.624	4.427E+01	3.584E+01	5.789E+01
27.437	3.814E+01	3.087E+01	4.987E+01
27.251	3.396E+01	2.749E+01	4.441E+01
27.066	3.003E+01	2.431E+01	3.928E+01
26.880	2.608E+01	2.111E+01	3.410E+01
26.696	2.096E+01	1.697E+01	2.741E+01
26.511	1.631E+01	1.321E+01	2.133E+01
26.327	1.326E+01	1.074E+01	1.735E+01
26.144	1.010E+01	8.177E+00	1.321E+01
25.960	6.904E+00	5.589E+00	9.028E+00
25.778	5.400E+00	4.371E+00	7.061E+00
25.596	4.747E+00	3.843E+00	6.208E+00
25.414	4.127E+00	3.341E+00	5.397E+00
25.233	3.017E+00	2.442E+00	3.945E+00
25.052	2.247E+00	1.819E+00	2.939E+00
24.872	2.271E+00	1.839E+00	2.970E+00
24.693	2.335E+00	1.890E+00	3.054E+00
24.514	2.619E+00	2.120E+00	3.424E+00
24.336	2.983E+00	2.415E+00	3.900E+00
24.159	3.225E+00	2.611E+00	4.217E+00
23.982	3.522E+00	2.851E+00	4.606E+00
23.805	3.805E+00	3.081E+00	4.976E+00
23.630	4.119E+00	3.334E+00	5.386E+00
23.455	4.718E+00	3.819E+00	6.169E+00
23.311	5.442E+00	4.405E+00	7.116E+00
22.632	3.762E+00	3.045E+00	4.919E+00
21.966	1.109E+00	8.978E-01	1.450E+00
21.314	3.278E-01	2.654E-01	4.287E-01
20.677	1.594E-01	1.290E-01	2.084E-01
20.056	1.217E-01	9.852E-02	1.591E-01
19.454	1.055E-01	8.540E-02	1.380E-01
18.870	9.590E-02	7.763E-02	1.254E-01
18.307	8.420E-02	6.816E-02	1.101E-01
17.766	7.310E-02	5.918E-02	9.559E-02
17.250	6.780E-02	5.489E-02	8.866E-02
16.758	6.660E-02	5.391E-02	8.709E-02
16.294	6.590E-02	5.335E-02	8.618E-02
15.859	6.460E-02	5.230E-02	8.448E-02
15.454	6.320E-02	5.116E-02	8.265E-02
15.082	6.120E-02	4.954E-02	8.003E-02
14.744	5.940E-02	4.809E-02	7.768E-02
14.442	5.820E-02	4.711E-02	7.611E-02
14.179	5.740E-02	4.647E-02	7.506E-02
