alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
87.266	8.820E-10	4.410E-10	1.764E-09
85.854	2.142E-09	1.071E-09	4.284E-09
84.529	6.246E-09	3.123E-09	1.249E-08
83.084	2.293E-08	1.147E-08	4.587E-08
81.631	4.414E-08	2.207E-08	8.828E-08
80.205	7.390E-08	3.695E-08	1.478E-07
78.785	1.355E-07	6.775E-08	2.710E-07
77.365	1.639E-07	8.196E-08	3.278E-07
75.983	3.773E-07	1.887E-07	7.546E-07
75.188	5.220E-07	2.610E-07	1.044E-06
74.584	6.285E-07	3.142E-07	1.257E-06
73.816	8.932E-07	4.466E-07	1.786E-06
73.169	7.234E-07	3.617E-07	1.447E-06
72.379	7.940E-07	3.970E-07	1.588E-06
71.760	8.318E-07	4.159E-07	1.664E-06
70.974	9.124E-07	4.562E-07	1.825E-06
70.342	1.001E-06	5.003E-07	2.001E-06
69.568	1.660E-06	8.302E-07	3.321E-06
68.993	2.291E-06	1.146E-06	4.583E-06
68.144	2.753E-06	1.377E-06	5.507E-06
67.623	4.166E-06	2.083E-06	8.331E-06
66.214	9.528E-06	4.764E-06	1.906E-05
65.277	1.440E-05	7.201E-06	2.880E-05
64.827	1.730E-05	8.652E-06	3.461E-05
63.926	2.175E-05	1.088E-05	4.351E-05
62.473	4.534E-05	2.267E-05	9.067E-05
61.965	5.201E-05	2.600E-05	1.040E-04
61.108	7.506E-05	3.753E-05	1.501E-04
60.552	1.064E-04	5.321E-05	2.128E-04
59.682	1.266E-04	6.328E-05	2.531E-04
59.127	1.336E-04	6.682E-05	2.673E-04
58.245	1.490E-04	7.452E-05	2.981E-04
57.690	1.758E-04	8.788E-05	3.515E-04
56.813	2.150E-04	1.075E-04	4.300E-04
56.278	2.356E-04	1.178E-04	4.711E-04
55.403	2.829E-04	1.415E-04	5.658E-04
54.827	3.016E-04	1.508E-04	6.032E-04
53.964	3.156E-04	1.578E-04	6.311E-04
53.403	3.365E-04	1.682E-04	6.729E-04
52.597	3.722E-04	1.861E-04	7.444E-04
52.038	3.620E-04	1.810E-04	7.240E-04
51.202	3.489E-04	1.745E-04	6.978E-04
50.632	3.722E-04	1.861E-04	7.444E-04
49.772	3.793E-04	1.897E-04	7.586E-04
49.220	3.865E-04	1.933E-04	7.731E-04
48.384	4.165E-04	2.082E-04	8.329E-04
47.811	4.875E-04	2.437E-04	9.749E-04
46.985	4.837E-04	2.418E-04	9.674E-04
46.471	4.887E-04	2.443E-04	9.774E-04
45.623	6.165E-04	3.082E-04	1.233E-03
45.071	6.833E-04	3.417E-04	1.367E-03
44.258	1.018E-03	5.090E-04	2.036E-03
43.663	1.119E-03	5.594E-04	2.238E-03
42.858	1.325E-03	6.625E-04	2.650E-03
42.302	1.525E-03	7.627E-04	3.051E-03
41.490	2.174E-03	1.087E-03	4.348E-03
40.948	2.436E-03	1.218E-03	4.871E-03
40.134	2.999E-03	1.499E-03	5.997E-03
38.775	3.478E-03	1.739E-03	6.957E-03
37.510	5.840E-03	2.920E-03	1.168E-02
37.426	6.120E-03	3.060E-03	1.224E-02
36.096	1.346E-02	6.732E-03	2.693E-02
35.910	1.453E-02	7.263E-03	2.905E-02
34.766	2.036E-02	1.018E-02	4.072E-02
34.335	2.268E-02	1.134E-02	4.536E-02
33.486	1.464E-02	7.321E-03	2.929E-02
32.773	1.222E-02	6.112E-03	2.445E-02
32.248	1.190E-02	5.952E-03	2.381E-02
31.302	1.573E-02	7.865E-03	3.146E-02
29.867	1.409E-02	7.046E-03	2.818E-02
28.562	6.777E-03	3.388E-03	1.355E-02
28.403	6.046E-03	3.023E-03	1.209E-02
27.412	4.901E-03	2.450E-03	9.801E-03
26.323	6.311E-03	3.156E-03	1.262E-02
25.282	5.213E-03	2.607E-03	1.043E-02
24.302	3.711E-02	1.855E-02	7.421E-02
23.400	1.193E-02	5.966E-03	2.386E-02
22.559	5.149E-04	2.575E-04	1.030E-03
21.798	1.071E-04	5.353E-05	2.141E-04
21.164	1.280E-05	6.400E-06	2.560E-05
20.648	2.648E-06	1.324E-06	5.296E-06
20.170	2.761E-07	1.381E-07	5.522E-07
19.753	4.165E-08	2.083E-08	8.330E-08
19.356	1.324E-08	6.620E-09	2.648E-08
