alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
63.276	2.325E-05	7.750E-06	6.975E-05
63.016	3.128E-05	1.043E-05	9.383E-05
62.757	3.467E-05	1.156E-05	1.040E-04
62.498	3.636E-05	1.212E-05	1.091E-04
62.239	3.849E-05	1.283E-05	1.155E-04
61.981	5.998E-05	1.999E-05	1.799E-04
61.723	7.846E-05	2.615E-05	2.354E-04
61.466	5.587E-05	1.862E-05	1.676E-04
61.209	4.283E-05	1.428E-05	1.285E-04
60.952	5.061E-05	1.687E-05	1.518E-04
60.696	5.020E-05	1.673E-05	1.506E-04
60.440	6.097E-05	2.032E-05	1.829E-04
60.184	5.364E-05	1.788E-05	1.609E-04
59.928	6.336E-05	2.112E-05	1.901E-04
59.672	5.226E-05	1.742E-05	1.568E-04
59.417	5.426E-05	1.809E-05	1.628E-04
59.162	4.234E-05	1.411E-05	1.270E-04
58.907	5.901E-05	1.967E-05	1.770E-04
58.652	5.190E-05	1.730E-05	1.557E-04
58.397	6.185E-05	2.061E-05	1.855E-04
58.142	6.538E-05	2.179E-05	1.961E-04
57.888	6.075E-05	2.025E-05	1.823E-04
57.633	7.510E-05	2.503E-05	2.253E-04
57.378	7.306E-05	2.435E-05	2.192E-04
57.124	9.812E-05	3.271E-05	2.944E-04
56.869	1.380E-04	4.599E-05	4.139E-04
56.615	1.785E-04	5.951E-05	5.356E-04
56.347	2.146E-04	7.154E-05	6.439E-04
56.093	2.962E-04	9.875E-05	8.887E-04
55.838	3.627E-04	1.209E-04	1.088E-03
55.584	4.320E-04	1.440E-04	1.296E-03
55.329	5.437E-04	1.812E-04	1.631E-03
55.074	7.099E-04	2.366E-04	2.130E-03
54.819	8.073E-04	2.691E-04	2.422E-03
54.564	8.296E-04	2.765E-04	2.489E-03
54.309	9.092E-04	3.031E-04	2.728E-03
54.054	9.783E-04	3.261E-04	2.935E-03
53.799	9.599E-04	3.200E-04	2.880E-03
53.543	9.247E-04	3.082E-04	2.774E-03
53.287	9.501E-04	3.167E-04	2.850E-03
53.032	9.761E-04	3.254E-04	2.928E-03
52.776	9.665E-04	3.222E-04	2.900E-03
52.520	8.648E-04	2.883E-04	2.595E-03
52.263	8.723E-04	2.908E-04	2.617E-03
52.007	1.058E-03	3.526E-04	3.173E-03
51.750	1.057E-03	3.523E-04	3.171E-03
51.494	8.866E-04	2.955E-04	2.660E-03
51.237	8.080E-04	2.693E-04	2.424E-03
50.979	7.639E-04	2.546E-04	2.292E-03
50.722	8.447E-04	2.816E-04	2.534E-03
50.464	8.598E-04	2.866E-04	2.579E-03
50.207	8.054E-04	2.685E-04	2.416E-03
49.949	8.122E-04	2.707E-04	2.437E-03
49.690	7.539E-04	2.513E-04	2.262E-03
49.432	7.328E-04	2.443E-04	2.198E-03
49.160	6.090E-04	2.030E-04	1.827E-03
48.902	5.203E-04	1.734E-04	1.561E-03
48.643	4.919E-04	1.640E-04	1.476E-03
48.383	5.243E-04	1.748E-04	1.573E-03
48.124	6.015E-04	2.005E-04	1.804E-03
47.864	5.635E-04	1.878E-04	1.691E-03
47.604	5.579E-04	1.860E-04	1.674E-03
47.344	5.275E-04	1.758E-04	1.583E-03
47.084	5.727E-04	1.909E-04	1.718E-03
46.824	6.160E-04	2.053E-04	1.848E-03
46.563	7.199E-04	2.400E-04	2.160E-03
46.302	7.194E-04	2.398E-04	2.158E-03
46.041	7.883E-04	2.628E-04	2.365E-03
45.780	8.325E-04	2.775E-04	2.498E-03
45.519	8.168E-04	2.723E-04	2.451E-03
45.257	7.445E-04	2.482E-04	2.233E-03
44.995	7.172E-04	2.391E-04	2.151E-03
44.734	8.154E-04	2.718E-04	2.446E-03
44.472	8.773E-04	2.924E-04	2.632E-03
44.210	9.182E-04	3.061E-04	2.755E-03
43.947	8.685E-04	2.895E-04	2.605E-03
43.685	9.007E-04	3.002E-04	2.702E-03
43.423	8.758E-04	2.919E-04	2.627E-03
43.160	9.512E-04	3.171E-04	2.853E-03
42.898	1.112E-03	3.707E-04	3.336E-03
42.635	1.265E-03	4.216E-04	3.794E-03
42.372	1.412E-03	4.708E-04	4.237E-03
42.109	1.349E-03	4.495E-04	4.046E-03
41.834	1.196E-03	3.988E-04	3.589E-03
41.571	1.230E-03	4.099E-04	3.689E-03
41.308	1.276E-03	4.253E-04	3.827E-03
41.045	1.438E-03	4.794E-04	4.315E-03
40.782	1.520E-03	5.067E-04	4.560E-03
40.519	1.667E-03	5.557E-04	5.001E-03
40.257	1.521E-03	5.069E-04	4.562E-03
39.994	1.154E-03	3.846E-04	3.462E-03
39.731	1.113E-03	3.708E-04	3.337E-03
39.469	1.155E-03	3.849E-04	3.464E-03
39.207	1.326E-03	4.421E-04	3.979E-03
38.944	1.581E-03	5.270E-04	4.743E-03
38.682	2.224E-03	7.414E-04	6.673E-03
38.420	3.593E-03	1.198E-03	1.078E-02
38.159	5.103E-03	1.701E-03	1.531E-02
37.897	6.084E-03	2.028E-03	1.825E-02
37.636	6.864E-03	2.288E-03	2.059E-02
37.375	7.534E-03	2.511E-03	2.260E-02
37.114	8.501E-03	2.834E-03	2.550E-02
36.854	9.954E-03	3.318E-03	2.986E-02
36.594	1.015E-02	3.384E-03	3.045E-02
36.334	1.146E-02	3.819E-03	3.437E-02
36.074	1.380E-02	4.598E-03	4.139E-02
35.815	1.788E-02	5.960E-03	5.364E-02
35.557	1.875E-02	6.251E-03	5.626E-02
35.298	1.651E-02	5.504E-03	4.954E-02
35.041	1.495E-02	4.983E-03	4.485E-02
34.770	1.257E-02	4.191E-03	3.772E-02
34.514	1.108E-02	3.692E-03	3.323E-02
34.257	1.080E-02	3.599E-03	3.239E-02
34.002	1.102E-02	3.674E-03	3.307E-02
33.747	9.892E-03	3.297E-03	2.967E-02
33.492	7.950E-03	2.650E-03	2.385E-02
33.238	8.902E-03	2.967E-03	2.670E-02
32.985	9.092E-03	3.031E-03	2.728E-02
32.733	8.089E-03	2.696E-03	2.427E-02
32.481	6.268E-03	2.089E-03	1.880E-02
32.230	5.426E-03	1.809E-03	1.628E-02
31.980	5.444E-03	1.815E-03	1.633E-02
31.730	4.501E-03	1.500E-03	1.350E-02
31.482	3.096E-03	1.032E-03	9.289E-03
31.234	3.224E-03	1.075E-03	9.673E-03
30.987	3.006E-03	1.002E-03	9.019E-03
30.742	2.534E-03	8.446E-04	7.601E-03
30.497	1.843E-03	6.143E-04	5.529E-03
30.253	1.539E-03	5.131E-04	4.618E-03
30.010	1.876E-03	6.254E-04	5.628E-03
29.769	1.672E-03	5.573E-04	5.016E-03
29.528	1.384E-03	4.615E-04	4.153E-03
29.289	1.484E-03	4.946E-04	4.452E-03
29.050	1.930E-03	6.434E-04	5.791E-03
28.813	2.032E-03	6.772E-04	6.095E-03
28.578	2.062E-03	6.872E-04	6.185E-03
28.343	1.345E-03	4.483E-04	4.034E-03
28.110	9.981E-04	3.327E-04	2.995E-03
27.867	9.592E-04	3.197E-04	2.878E-03
27.637	9.133E-04	3.044E-04	2.740E-03
27.408	6.418E-04	2.139E-04	1.926E-03
27.180	6.402E-04	2.134E-04	1.921E-03
26.955	8.498E-04	2.833E-04	2.549E-03
26.730	7.318E-04	2.439E-04	2.195E-03
26.508	8.621E-04	2.874E-04	2.587E-03
26.287	7.923E-04	2.641E-04	2.377E-03
26.068	5.627E-04	1.876E-04	1.688E-03
25.850	3.325E-04	1.108E-04	9.975E-04
25.634	2.688E-04	8.960E-05	8.064E-04
25.421	2.405E-04	8.018E-05	7.216E-04
25.209	2.094E-04	6.981E-05	6.283E-04
24.998	1.545E-04	5.152E-05	4.636E-04
24.790	1.120E-04	3.733E-05	3.360E-04
24.584	1.323E-04	4.409E-05	3.968E-04
24.380	1.153E-04	3.844E-05	3.459E-04
24.178	1.623E-04	5.411E-05	4.870E-04
23.978	1.955E-04	6.516E-05	5.865E-04
23.781	1.854E-04	6.179E-05	5.560E-04
23.585	1.476E-04	4.919E-05	4.427E-04
23.392	1.092E-04	3.640E-05	3.276E-04
23.201	7.040E-05	2.347E-05	2.112E-04
23.013	6.810E-05	2.270E-05	2.043E-04
22.827	8.767E-05	2.922E-05	2.630E-04
22.643	1.422E-04	4.739E-05	4.265E-04
22.462	1.702E-04	5.673E-05	5.106E-04
22.284	1.546E-04	5.154E-05	4.639E-04
22.099	1.473E-04	4.910E-05	4.419E-04
21.927	1.007E-04	3.357E-05	3.021E-04
21.756	1.349E-04	4.497E-05	4.048E-04
21.589	1.152E-04	3.839E-05	3.455E-04
21.424	1.371E-04	4.569E-05	4.112E-04
21.263	1.694E-04	5.646E-05	5.081E-04
21.104	1.409E-04	4.697E-05	4.228E-04
20.948	1.184E-04	3.948E-05	3.553E-04
20.796	7.149E-05	2.383E-05	2.145E-04
