alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
75.662	5.617E-06	1.872E-06	1.685E-05
74.120	9.623E-06	3.208E-06	2.887E-05
73.818	7.344E-06	2.448E-06	2.203E-05
73.517	5.553E-06	1.851E-06	1.666E-05
73.218	1.125E-05	3.749E-06	3.374E-05
72.921	2.385E-05	7.951E-06	7.156E-05
72.625	2.070E-05	6.900E-06	6.210E-05
72.331	1.338E-05	4.459E-06	4.013E-05
72.039	1.020E-05	3.401E-06	3.060E-05
71.748	1.211E-05	4.035E-06	3.631E-05
71.156	9.365E-06	3.122E-06	2.810E-05
70.870	8.122E-06	2.707E-06	2.437E-05
70.585	1.367E-05	4.556E-06	4.101E-05
70.302	5.940E-06	1.980E-06	1.782E-05
70.019	1.137E-05	3.790E-06	3.411E-05
69.738	1.142E-05	3.807E-06	3.427E-05
69.459	2.012E-05	6.707E-06	6.036E-05
69.180	1.505E-05	5.016E-06	4.515E-05
68.903	1.341E-05	4.469E-06	4.022E-05
68.626	6.935E-06	2.312E-06	2.080E-05
68.351	1.848E-05	6.161E-06	5.545E-05
68.077	1.394E-05	4.648E-06	4.183E-05
67.804	1.549E-05	5.163E-06	4.647E-05
67.532	1.689E-05	5.630E-06	5.066E-05
67.261	2.056E-05	6.855E-06	6.169E-05
66.991	1.797E-05	5.990E-06	5.391E-05
66.721	2.559E-05	8.528E-06	7.676E-05
66.453	2.319E-05	7.731E-06	6.958E-05
66.186	2.721E-05	9.069E-06	8.163E-05
65.919	2.489E-05	8.296E-06	7.466E-05
65.653	2.095E-05	6.984E-06	6.285E-05
65.388	2.120E-05	7.068E-06	6.361E-05
65.123	1.281E-05	4.270E-06	3.843E-05
64.859	1.724E-05	5.748E-06	5.174E-05
64.596	2.137E-05	7.122E-06	6.410E-05
64.333	2.823E-05	9.410E-06	8.469E-05
64.071	3.131E-05	1.044E-05	9.393E-05
63.810	2.294E-05	7.647E-06	6.883E-05
63.536	2.040E-05	6.799E-06	6.119E-05
