alt_km	edep_ktkm	edepmin_ktkm	edepmax_ktkm
75.090	2.706E-03	2.165E-03	8.660E-03
74.977	3.542E-03	2.833E-03	1.133E-02
74.863	4.377E-03	3.501E-03	1.401E-02
74.751	4.797E-03	3.838E-03	1.535E-02
74.639	4.388E-03	3.510E-03	1.404E-02
74.527	3.979E-03	3.183E-03	1.273E-02
74.414	4.399E-03	3.519E-03	1.408E-02
74.302	4.405E-03	3.524E-03	1.410E-02
74.190	3.996E-03	3.197E-03	1.279E-02
74.078	4.001E-03	3.201E-03	1.280E-02
73.965	4.837E-03	3.869E-03	1.548E-02
73.796	5.260E-03	4.208E-03	1.683E-02
73.684	5.266E-03	4.213E-03	1.685E-02
73.516	4.859E-03	3.887E-03	1.555E-02
73.404	4.865E-03	3.892E-03	1.557E-02
73.291	5.285E-03	4.228E-03	1.691E-02
73.236	4.459E-03	3.567E-03	1.427E-02
73.068	4.052E-03	3.242E-03	1.297E-02
73.011	4.885E-03	3.908E-03	1.563E-02
72.899	4.476E-03	3.580E-03	1.432E-02
72.788	3.652E-03	2.921E-03	1.169E-02
72.620	3.245E-03	2.596E-03	1.038E-02
72.452	2.839E-03	2.271E-03	9.085E-03
72.283	3.262E-03	2.610E-03	1.044E-02
72.114	3.685E-03	2.948E-03	1.179E-02
72.001	4.106E-03	3.285E-03	1.314E-02
71.889	4.526E-03	3.621E-03	1.448E-02
71.720	4.535E-03	3.628E-03	1.451E-02
71.552	4.543E-03	3.635E-03	1.454E-02
71.382	5.381E-03	4.305E-03	1.722E-02
71.269	6.217E-03	4.973E-03	1.989E-02
71.215	4.560E-03	3.648E-03	1.459E-02
71.157	6.222E-03	4.978E-03	1.991E-02
71.104	3.321E-03	2.657E-03	1.063E-02
70.993	2.912E-03	2.330E-03	9.319E-03
70.879	3.748E-03	2.998E-03	1.199E-02
70.822	4.580E-03	3.664E-03	1.466E-02
70.821	5.824E-03	4.660E-03	1.864E-02
70.652	5.833E-03	4.666E-03	1.867E-02
70.595	6.250E-03	5.000E-03	2.000E-02
70.429	5.015E-03	4.012E-03	1.605E-02
70.261	4.608E-03	3.687E-03	1.475E-02
70.092	4.617E-03	3.693E-03	1.477E-02
69.981	4.208E-03	3.366E-03	1.346E-02
69.756	4.219E-03	3.375E-03	1.350E-02
69.588	3.812E-03	3.050E-03	1.220E-02
69.477	2.989E-03	2.391E-03	9.563E-03
69.420	3.821E-03	3.057E-03	1.223E-02
69.251	4.244E-03	3.395E-03	1.358E-02
69.082	4.667E-03	3.734E-03	1.494E-02
68.914	4.261E-03	3.409E-03	1.364E-02
68.690	3.858E-03	3.086E-03	1.234E-02
68.579	3.034E-03	2.427E-03	9.708E-03
68.467	2.625E-03	2.100E-03	8.398E-03
68.353	3.875E-03	3.100E-03	1.240E-02
68.241	4.295E-03	3.436E-03	1.374E-02
68.183	5.542E-03	4.434E-03	1.774E-02
68.014	5.966E-03	4.772E-03	1.909E-02
67.846	5.974E-03	4.779E-03	1.912E-02
67.677	5.982E-03	4.786E-03	1.914E-02
67.509	5.991E-03	4.793E-03	1.917E-02
67.397	5.582E-03	4.465E-03	1.786E-02
67.285	5.173E-03	4.138E-03	1.655E-02
67.172	6.008E-03	4.806E-03	1.923E-02
67.059	6.843E-03	5.475E-03	2.190E-02
66.891	6.437E-03	5.149E-03	2.060E-02
66.779	6.442E-03	5.154E-03	2.062E-02
66.666	6.448E-03	5.158E-03	2.063E-02
66.553	7.283E-03	5.827E-03	2.331E-02
66.385	6.877E-03	5.502E-03	2.201E-02
66.274	6.468E-03	5.174E-03	2.070E-02
66.162	6.059E-03	4.847E-03	1.939E-02
66.050	5.650E-03	4.520E-03	1.808E-02
65.882	5.243E-03	4.195E-03	1.678E-02
65.769	5.664E-03	4.531E-03	1.812E-02
65.601	5.672E-03	4.538E-03	1.815E-02
65.489	5.678E-03	4.542E-03	1.817E-02
65.320	5.686E-03	4.549E-03	1.820E-02
65.153	5.280E-03	4.224E-03	1.690E-02
65.040	5.286E-03	4.228E-03	1.691E-02
64.985	4.459E-03	3.567E-03	1.427E-02
64.872	4.879E-03	3.903E-03	1.561E-02
64.871	5.709E-03	4.567E-03	1.827E-02
64.759	5.714E-03	4.572E-03	1.829E-02
64.646	6.135E-03	4.908E-03	1.963E-02
64.534	6.555E-03	5.244E-03	2.098E-02
64.421	6.561E-03	5.249E-03	2.100E-02
64.253	6.155E-03	4.924E-03	1.969E-02
64.141	6.575E-03	5.260E-03	2.104E-02
64.028	6.581E-03	5.265E-03	2.106E-02
63.916	6.586E-03	5.269E-03	2.108E-02
63.860	6.174E-03	4.940E-03	1.976E-02
63.748	6.180E-03	4.944E-03	1.978E-02
63.579	6.603E-03	5.283E-03	2.113E-02
63.467	7.024E-03	5.619E-03	2.248E-02
63.410	7.441E-03	5.953E-03	2.381E-02
63.129	7.456E-03	5.964E-03	2.386E-02
62.905	7.467E-03	5.973E-03	2.389E-02
62.792	7.472E-03	5.978E-03	2.391E-02
62.680	7.478E-03	5.982E-03	2.393E-02
62.512	7.487E-03	5.989E-03	2.396E-02
62.342	8.325E-03	6.660E-03	2.664E-02
62.288	7.083E-03	5.666E-03	2.267E-02
62.286	8.327E-03	6.662E-03	2.665E-02
62.120	6.677E-03	5.341E-03	2.137E-02
62.008	6.268E-03	5.014E-03	2.006E-02
61.784	6.279E-03	5.023E-03	2.009E-02
61.672	5.870E-03	4.696E-03	1.878E-02
61.504	5.463E-03	4.371E-03	1.748E-02
61.336	5.472E-03	4.377E-03	1.751E-02
61.224	5.063E-03	4.050E-03	1.620E-02
61.114	3.409E-03	2.727E-03	1.091E-02
61.000	4.659E-03	3.727E-03	1.491E-02
60.831	5.082E-03	4.066E-03	1.626E-02
60.719	4.673E-03	3.739E-03	1.495E-02
60.550	5.097E-03	4.077E-03	1.631E-02
60.382	5.520E-03	4.416E-03	1.766E-02
60.214	5.113E-03	4.091E-03	1.636E-02
60.045	5.122E-03	4.098E-03	1.639E-02
59.821	4.718E-03	3.775E-03	1.510E-02
59.764	5.551E-03	4.441E-03	1.776E-02
59.651	5.971E-03	4.777E-03	1.911E-02
59.594	7.219E-03	5.775E-03	2.310E-02
59.537	7.636E-03	6.109E-03	2.444E-02
59.426	6.812E-03	5.450E-03	2.180E-02
59.315	5.988E-03	4.791E-03	1.916E-02
59.202	5.994E-03	4.795E-03	1.918E-02
59.089	6.829E-03	5.463E-03	2.185E-02
58.976	7.250E-03	5.800E-03	2.320E-02
58.807	8.088E-03	6.470E-03	2.588E-02
58.694	8.508E-03	6.807E-03	2.723E-02
58.526	8.102E-03	6.481E-03	2.593E-02
58.414	7.693E-03	6.154E-03	2.462E-02
58.248	6.457E-03	5.165E-03	2.066E-02
58.192	6.045E-03	4.836E-03	1.934E-02
58.081	5.221E-03	4.177E-03	1.671E-02
58.024	6.053E-03	4.843E-03	1.937E-02
57.966	6.886E-03	5.508E-03	2.203E-02
57.855	6.062E-03	4.849E-03	1.940E-02
57.800	5.235E-03	4.188E-03	1.675E-02
57.743	5.652E-03	4.522E-03	1.809E-02
57.575	5.661E-03	4.529E-03	1.812E-02
57.463	5.252E-03	4.201E-03	1.681E-02
57.239	4.848E-03	3.879E-03	1.551E-02
57.128	4.439E-03	3.551E-03	1.421E-02
57.015	4.860E-03	3.888E-03	1.555E-02
56.902	5.695E-03	4.556E-03	1.822E-02
56.846	4.868E-03	3.894E-03	1.558E-02
56.791	4.456E-03	3.565E-03	1.426E-02
56.790	5.286E-03	4.229E-03	1.691E-02
56.732	6.533E-03	5.226E-03	2.091E-02
56.619	6.953E-03	5.563E-03	2.225E-02
56.506	7.374E-03	5.899E-03	2.360E-02
56.395	6.965E-03	5.572E-03	2.229E-02
56.340	6.138E-03	4.910E-03	1.964E-02
56.227	6.558E-03	5.247E-03	2.099E-02
56.170	6.976E-03	5.581E-03	2.232E-02
56.060	5.737E-03	4.590E-03	1.836E-02
55.948	4.913E-03	3.931E-03	1.572E-02
55.893	4.501E-03	3.601E-03	1.440E-02
55.723	5.754E-03	4.603E-03	1.841E-02
55.556	4.518E-03	3.615E-03	1.446E-02
55.444	4.109E-03	3.287E-03	1.315E-02
55.333	3.700E-03	2.960E-03	1.184E-02
55.219	4.535E-03	3.628E-03	1.451E-02
55.050	5.373E-03	4.299E-03	1.719E-02
54.938	5.379E-03	4.303E-03	1.721E-02
54.825	5.799E-03	4.639E-03	1.856E-02
54.655	6.637E-03	5.310E-03	2.124E-02
54.543	7.058E-03	5.646E-03	2.258E-02
54.319	6.654E-03	5.323E-03	2.129E-02
54.150	6.663E-03	5.330E-03	2.132E-02
53.926	6.674E-03	5.339E-03	2.136E-02
53.757	7.097E-03	5.678E-03	2.271E-02
53.642	8.762E-03	7.010E-03	2.804E-02
53.417	9.188E-03	7.351E-03	2.940E-02
53.306	8.364E-03	6.691E-03	2.677E-02
53.083	7.546E-03	6.037E-03	2.415E-02
52.914	7.554E-03	6.044E-03	2.417E-02
52.634	7.569E-03	6.055E-03	2.422E-02
52.465	7.992E-03	6.393E-03	2.557E-02
52.295	8.830E-03	7.064E-03	2.826E-02
52.238	9.662E-03	7.730E-03	3.092E-02
52.180	1.091E-02	8.728E-03	3.491E-02
52.067	1.174E-02	9.396E-03	3.758E-02
51.954	1.258E-02	1.006E-02	4.026E-02
51.896	1.341E-02	1.073E-02	4.292E-02
51.839	1.466E-02	1.173E-02	4.691E-02
51.727	1.425E-02	1.140E-02	4.560E-02
51.672	1.342E-02	1.074E-02	4.296E-02
51.561	1.260E-02	1.008E-02	4.032E-02
51.449	1.219E-02	9.753E-03	3.901E-02
51.393	1.219E-02	9.755E-03	3.902E-02
51.336	1.261E-02	1.009E-02	4.036E-02
51.223	1.345E-02	1.076E-02	4.303E-02
51.111	1.345E-02	1.076E-02	4.305E-02
50.999	1.263E-02	1.010E-02	4.041E-02
50.831	1.264E-02	1.011E-02	4.044E-02
50.718	1.306E-02	1.045E-02	4.178E-02
50.717	1.389E-02	1.111E-02	4.444E-02
50.715	1.555E-02	1.244E-02	4.975E-02
50.602	1.638E-02	1.310E-02	5.242E-02
50.491	1.556E-02	1.245E-02	4.978E-02
50.436	1.432E-02	1.145E-02	4.581E-02
50.380	1.432E-02	1.145E-02	4.582E-02
50.210	1.516E-02	1.213E-02	4.850E-02
50.098	1.558E-02	1.246E-02	4.985E-02
49.984	1.641E-02	1.313E-02	5.252E-02
49.816	1.601E-02	1.280E-02	5.122E-02
49.649	1.560E-02	1.248E-02	4.992E-02
